Date,Product,Category,Region,Quantity,Price,Revenue,Cost,Profit
2024-01-15,Laptop,Electronics,North,5,899.99,4499.95,3149.97,1349.98
2024-01-16,Smartphone,Electronics,South,8,699.50,5596.00,3917.20,1678.80
2024-01-17,T-Shirt,Clothing,East,25,29.99,749.75,412.36,337.39
2024-01-18,Jeans,Clothing,West,15,59.99,899.85,539.91,359.94
2024-01-19,Coffee,Food,Central,100,4.99,499.00,249.50,249.50
2024-01-20,Snacks,Food,North,75,2.99,224.25,123.34,100.91
2024-01-21,Fiction,Books,South,30,15.99,479.70,239.85,239.85
2024-01-22,Comics,Books,East,20,12.50,250.00,125.00,125.00
2024-01-23,Action Figure,Toys,West,40,24.99,999.60,599.76,399.84
2024-01-24,Puzzle,Toys,Central,35,18.75,656.25,360.94,295.31
2024-02-01,Tablet,Electronics,North,12,399.99,4799.88,3359.92,1439.96
2024-02-02,Headphones,Electronics,South,18,149.99,2699.82,1619.89,1079.93
2024-02-03,Jacket,Clothing,East,10,89.99,899.90,539.94,359.96
2024-02-04,Shoes,Clothing,West,22,79.99,1759.78,1055.87,703.91
2024-02-05,Beverages,Food,Central,90,3.50,315.00,157.50,157.50
2024-02-06,Fruits,Food,North,65,5.99,389.35,194.68,194.67
2024-02-07,Non-Fiction,Books,South,25,18.99,474.75,237.38,237.37
2024-02-08,Magazine,Books,East,50,6.99,349.50,174.75,174.75
2024-02-09,Board Game,Toys,West,15,34.99,524.85,314.91,209.94
2024-02-10,Doll,Toys,Central,28,22.50,630.00,378.00,252.00
2024-03-01,Camera,Electronics,North,7,599.99,4199.93,2939.95,1259.98
2024-03-02,Smart Watch,Electronics,South,14,299.99,4199.86,2939.90,1259.96
2024-03-03,Dress,Clothing,East,18,49.99,899.82,539.89,359.93
2024-03-04,Sweater,Clothing,West,12,45.99,551.88,331.13,220.75
2024-03-05,Bakery,Food,Central,80,4.50,360.00,180.00,180.00
2024-03-06,Dairy,Food,North,55,6.99,384.45,192.23,192.22
2024-03-07,Textbook,Books,South,15,89.99,1349.85,809.91,539.94
2024-03-08,E-book,Books,East,40,9.99,399.60,199.80,199.80
2024-03-09,LEGO,Toys,West,20,49.99,999.80,599.88,399.92
2024-03-10,Educational Toy,Toys,Central,25,29.99,749.75,449.85,299.90
2024-04-01,Laptop,Electronics,South,6,899.99,5399.94,3779.96,1619.98
2024-04-02,Smartphone,Electronics,East,10,699.50,6995.00,4896.50,2098.50
2024-04-03,T-Shirt,Clothing,West,30,29.99,899.70,494.84,404.86
2024-04-04,Jeans,Clothing,Central,20,59.99,1199.80,719.88,479.92
2024-04-05,Coffee,Food,North,110,4.99,548.90,274.45,274.45
2024-04-06,Snacks,Food,South,85,2.99,254.15,139.78,114.37
2024-04-07,Fiction,Books,East,35,15.99,559.65,279.83,279.82
2024-04-08,Comics,Books,West,25,12.50,312.50,156.25,156.25
2024-04-09,Action Figure,Toys,Central,45,24.99,1124.55,674.73,449.82
2024-04-10,Puzzle,Toys,North,40,18.75,750.00,412.50,337.50
2024-05-01,Tablet,Electronics,South,15,399.99,5999.85,4199.90,1799.95
2024-05-02,Headphones,Electronics,East,22,149.99,3299.78,1979.87,1319.91
2024-05-03,Jacket,Clothing,West,14,89.99,1259.86,755.92,503.94
2024-05-04,Shoes,Clothing,Central,26,79.99,2079.74,1247.84,831.90
2024-05-05,Beverages,Food,North,95,3.50,332.50,166.25,166.25
2024-05-06,Fruits,Food,South,70,5.99,419.30,209.65,209.65
2024-05-07,Non-Fiction,Books,East,28,18.99,531.72,265.86,265.86
2024-05-08,Magazine,Books,West,55,6.99,384.45,192.23,192.22
2024-05-09,Board Game,Toys,Central,18,34.99,629.82,377.89,251.93
2024-05-10,Doll,Toys,North,32,22.50,720.00,432.00,288.00